|name                    |ra         |dec        |vmag |bv_color|porb     |flux_limit|flux    |flux_max|xray_type       |pulse_period|alt_name_1           |alt_name_2|
|4U 2129+12              |21 29 58.31|+12 10 02.9|15.80|   -0.10|   0.7125|          |    6.00|        |G, B?, D, E, R? |            |                     |M15       |
|SAX J1818.7+1424        |18 18 44.00|+14 24 12.0|     |        |         |          |        |        |B               |            |                     |          |
|4U 1918+15              |19 20 17.00|+14 42 18.0|     |        |         |&lt;         |    5.00|      45|T               |            |                     |          |
|XTE J1859+226           |18 58 41.58|+22 39 29.4|15.31|    0.34|   0.3817|          | 1300.00|        |T, M, R         |            |                     |          |
|SAX J0840.7+2248        |08 40 40.00|+22 48 18.0|     |        |         |          | 1000.00|        |T, B?           |            |                     |          |
|4U 1700+24              |17 06 34.52|+23 58 18.6| 7.80|    1.30| 404.0000|&lt;         |    0.50|      22|                |            |2A 1704+241          |V934 Her  |
|GS 2000+25              |20 02 49.58|+25 14 11.3|18.20|    1.44|   0.3442|&lt;         |    0.50|   11000|T, U, R         |            |                     |No. B     |
|1E 1603.6+2600          |16 05 45.82|+25 51 45.1|19.70|        |   0.0771|          |    0.15|        |B               |            |                     |          |
|3A 1954+319             |19 55 42.33|+32 05 49.1|10.70|        |         |&lt;         |    1.50|      80|T               |            |4U 1954+31           |          |
|GRO J0422+32            |04 21 42.79|+32 54 27.1|13.20|    0.30|   0.2122|          | 2800.00|        |T, R            |            |                     |          |
|4U 0042+32              |00 44 50.40|+33 01 17.0|19.30|    0.60|         |&lt;         |    0.50|      55|T               |            |N Per 1992           |          |
|GS 2023+338             |20 24 03.80|+33 52 03.2|12.70|    1.50|   6.4750|          |    0.03|   20000|T, U, R         |            |                     |          |
|2A 1655+353             |16 57 49.83|+35 20 32.6|13.00|   -0.20|   1.7000|          |   15.00|      50|P, D, E         |     1.24000|Her X-1              |          |
|XTE J2012+381           |20 12 37.71|+38 11 01.1|21.33|        |         |          |  160.00|        |T, U, R         |            |                     |          |
|4U 2142+38              |21 44 41.20|+38 19 18.0|14.70|    0.50|   9.8417|          |  450.00|        |B, Z, R         |            |Cyg X-2              |          |
|4U 2129+47              |21 31 26.20|+47 17 24.0|16.40|    0.65|   0.2183|          |    9.00|        |B, E            |            |                     |          |
|XTE J1118+480           |11 18 10.85|+48 02 12.9|12.25|        |   0.1700|          |   40.00|        |T, M, R         |            |                     |          |
|SAX J2224.9+5421        |22 24 52.00|+54 21 54.0|     |        |         |          |        |        |B               |            |                     |          |
|IGR J00291+5934         |00 29 03.06|+59 34 19.0|     |        |   0.1025|          |   52.00|        |T, P, R         |     0.00167|                     |          |
|Swift J061223.0+701243.9|06 12 22.60|+70 12 43.4|19.36|    0.33|   0.0125|          |   -1.02|        |T               |            |                     |          |
